Dis No,Year,Seq,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,Total Affected,Total Damages Adj
1976-0071-IDN,1976,71,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,"Irian Jaya, Jayawijaya (New guinea)",,,7,Richter,-4.52,139.92,1976,10,29,1976,10,29,133,7000,0
1977-0106-IDN,1977,106,Geophysical,Earthquake,Ground movement,Indonesia,IDN,South-Eastern Asia,Asia,"Sumbaya, Lombok, Sumba (Nusa Tengarra Is.)",,Tsunami/Tidal wave,8,Richter,-11.16,118.38,1977,8,19,1977,8,19,185,3975,5794
1977-0137-ARG,1977,137,Geophysical,Earthquake,Ground movement,Argentina,ARG,South America,Americas,"Cardoba, Buenos Aires, Caucete, Bragado San Juan province",,,7,Richter,-31.03,-67.77,1977,11,23,1977,11,23,70,40100,386290
1977-0048-BGR,1977,48,Geophysical,Earthquake,Ground movement,Bulgaria,BGR,Eastern Europe,Europe,"Svishtov, Ruse",,,6,Richter,45.77,26.76,1977,3,4,1977,3,4,20,165,0
1978-0113-DFR,1978,113,Geophysical,Earthquake,Ground movement,Germany Fed Rep,DFR,Western Europe,Europe,Swabian Alb,,,6,Richter,48.29,9.01,1978,9,3,1978,9,3,0,235,672942
1978-0081-GRC,1978,81,Geophysical,Earthquake,Ground movement,Greece,GRC,Southern Europe,Europe,Thessaloniki area,,,6,Richter,40.74,23.23,1978,6,20,1978,6,20,50,600100,1121569
1901-0004-JPN,1901,4,Geophysical,Earthquake,Tsunami,Japan,JPN,Eastern Asia,Asia,Sanriku,Earthquake,Tsunami/Tidal wave,8,Richter,40.5,142.5,1901,8,10,1901,8,10,18,24,0
1902-0011-SUN,1902,11,Geophysical,Earthquake,Ground movement,Soviet Union,SUN,Russian Federation,Europe,"Andishan,Tashkent (Uzbekistan)",,,6,Richter,40.8,72.3,1902,12,16,1902,12,16,4562,125112,0
1903-0007-TUR,1903,7,Geophysical,Earthquake,Ground movement,Turkey,TUR,Western Asia,Asia,Malazgirt,,,6,Richter,39.09,42.3,1903,4,29,1903,4,29,3560,60000,0
1905-0007-JPN,1905,7,Geophysical,Earthquake,Tsunami,Japan,JPN,Eastern Asia,Asia,Fukushima,Earthquake,Tsunami/Tidal wave,7,Richter,37.4,142.6,1907,7,7,1907,7,7,41,0,0
1905-0001-ITA,1905,1,Geophysical,Earthquake,Ground movement,Italy,ITA,Southern Europe,Europe,"MONTELEONE, TROPEA, MONTE PORO (Calabria)",,,7,Richter,38.67,16.07,1905,9,8,1905,9,8,557,22100,0
1906-0013-USA,1906,13,Geophysical,Earthquake,Ground movement,United States of America (the),USA,Northern America,Americas,San Francisco (California),,Fire,8,Richter,37.67,-122.48,1906,4,18,1906,4,18,700,84564,17029512
1906-0001-TWN,1906,1,Geophysical,Earthquake,Ground movement,Taiwan (Province of China),TWN,Eastern Asia,Asia,"Kagi, Toroku",,,7,Richter,23.6,170.5,1906,3,17,1906,3,17,1258,20452,0
1907-0004-JAM,1907,4,Geophysical,Earthquake,Ground movement,Jamaica,JAM,Caribbean,Americas,Kingston,,,7,Richter,18.2,-76.8,1907,1,14,1907,1,14,1200,90000,940152
1908-0007-ITA,1908,7,Geophysical,Earthquake,Ground movement,Italy,ITA,Southern Europe,Europe,"Messina, Regio, Calabria, Sicilia",,Tsunami/Tidal wave,7,Richter,38.17,15.58,1908,12,28,1908,12,28,75000,150000,3769892
1909-0007-IRN,1909,7,Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Boroujerd, Silakor",,,8,Richter,33.55,48.48,1909,1,23,1909,1,23,5000,0,0
1909-0014-MAR,1909,14,Geophysical,Earthquake,Ground movement,Morocco,MAR,Northern Africa,Africa,"Tetouan, Romars",,,0,Richter,35.34,-5.22,1909,1,29,1909,1,29,100,0,0
1912-0006-TUR,1912,6,Geophysical,Earthquake,Ground movement,Turkey,TUR,Western Asia,Asia,"Murefte Sarkoy, marmara sea",,Tsunami/Tidal wave,8,Richter,40.41,27.15,1912,8,9,1912,8,9,923,18195,0
1913-0009-PER,1913,9,Geophysical,Earthquake,Ground movement,Peru,PER,South America,Americas,"Albancay, Amyares, Casaya, Soraya",,,6,Richter,-14.2,-72.9,1913,11,4,1913,11,4,150,0,0
1913-0008-ROU,1913,8,Geophysical,Earthquake,Ground movement,Romania,ROU,Eastern Europe,Europe,Tirnovo,,,7,Richter,43.5,25.5,1913,6,14,1913,6,14,0,0,0
